id, potere, helps[, data]
Screenshot_20250616-180825.png,27WNoNooo,"3,403,262",3,115
Screenshot_20250616-180831.png,zwPuma,"2,867,773","1,712"
Screenshot_20250616-180836.png,zw Vlad44,"5,510,948","3,667"
Screenshot_20250616-180841.png,zWioker,"3,675,043","3,216"
Screenshot_20250616-180847.png,BARBROSS,"3,368,587",581
Screenshot_20250616-180854.png,2W Azarya,"3,115,729","5,751"
Screenshot_20250616-180907.png,aW7enitsu,"4,069,725","5,918"
Screenshot_20250616-180912.png,zwinSenul,"3,747,279","2,494"
Screenshot_20250616-180919.png,zwCforKat,"3,541,180","4,879"
Screenshot_20250616-180924.png,~~ K GG,"3,505,297","1,852"
Screenshot_20250616-180931.png,7WoOPeantu,"3,479,892","3,998"
Screenshot_20250616-180939.png,BLvCKCarl,"3,376,830","3,205"
Screenshot_20250616-180946.png,zWPapoyyy,"2,620,239","1,477"
Screenshot_20250616-180951.png,iDADY,"2,286,572","3,442"
Screenshot_20250616-180958.png,ZzWStitch,"3,191,559","1,627"
Screenshot_20250616-181004.png,Muhammac,"3,016,561","3,652"
Screenshot_20250616-181011.png,zW BaeShar,"2,948,380",943
Screenshot_20250616-181015.png,Z~DoanBac,"2,944,672","2,852"
Screenshot_20250616-181020.png,MOONLIGI,"4,031,858","3,116"
Screenshot_20250616-181026.png,zwOuinny,"2,815,378","2,436"
Screenshot_20250616-181031.png,DolphinBr,"3,195,349","2,541"
Screenshot_20250616-181039.png,Wy sleeper,"3,619,558","4,495"
Screenshot_20250616-181051.png,GoldenCro,"3,111,648","4,722"
Screenshot_20250616-181057.png,zwMilante,"3,087,118","3,077"
Screenshot_20250616-181102.png,2WAres FPT,"3,110,331","4,662"
Screenshot_20250616-181133.png,2 biraa,"3,059,669","4,507"
Screenshot_20250616-181740.png,RGyjenEx,"2,951,866","2,637"
Screenshot_20250616-181745.png,2W Lavor,"3,024,554","6,504"
Screenshot_20250616-181750.png,2~ YURI,"3,046,978","2,919"
Screenshot_20250616-181755.png,2 biraa,"3,059,669","4,507"
Screenshot_20250616-181803.png,7WAndy Car,"2,923,602","4,216"
Screenshot_20250616-181809.png,luisbmos,"2,836,275","3,101"
Screenshot_20250616-181905.png,RGOgpy,"722835,515","3,283"
Screenshot_20250616-181911.png,Z7WDEXTER:,"2,771,368","3,128"
Screenshot_20250616-181945.png,RGBabiLon,"2,713,212","5,480"
Screenshot_20250616-181949.png,ZWS2WOLF,"2,763,127","3,106"
Screenshot_20250616-181953.png,0GMerak,"2,707,427","3,100"
Screenshot_20250616-181958.png,WKevingg,"2,695,211","3,713"
Screenshot_20250616-182003.png,zw Ararizz,"2,516,671","2,690"
Screenshot_20250616-182007.png,2WIMNIDA,"2,365,076","3,061"
Screenshot_20250616-182012.png,dunegxface,"2,105,745","4,139"
Screenshot_20250616-182017.png,DMPINOCH,"3,204,248","4,059"
Screenshot_20250616-182021.png,Ty Anh,"2,821,726",402
Screenshot_20250616-182026.png,OxTom,"2,068,110","4,506"
Screenshot_20250616-182041.png,Adabeyi,"2,176,293","2,063"
Screenshot_20250616-182045.png,emino2,"3,447,838","1,765"
Screenshot_20250616-182048.png,DanG RoK,"2,984,841","6,256"
Screenshot_20250616-182053.png,mWwaxe,"2,966,776","5,085"
Screenshot_20250616-182058.png,The HOME!,"2,985,796","3,803"
Screenshot_20250616-182115.png,Amir Al Ari,"2,955,793","4,195"
Screenshot_20250616-182121.png,DGicarusSs,"2,953,697","2,890"
Screenshot_20250616-182206.png,DGpDragon3,"2,935,960","6,230"
Screenshot_20250616-182211.png,Mandume,"2,778,332","2,802"
Screenshot_20250616-182230.png,Mandume,"2,778,332","2,802"
Screenshot_20250616-182234.png,Dolkosh,"2,712,506","4,528"
Screenshot_20250616-182240.png,Nik082,"2,742,765","1,743"
Screenshot_20250616-182246.png,ORdi0b3sti:,"2,507,052","1,075"
Screenshot_20250616-182251.png,Daniel,"2,580,616","2,220"
Screenshot_20250616-182257.png,QuanevVinl,"2,472,815","1,209"
Screenshot_20250616-182303.png,Mbd gee,"2,449,641","1,356"
Screenshot_20250616-182349.png,FaisalO,"2,382,091","2,025"
Screenshot_20250616-182359.png,Amfetreor,"2,411,415","1,085"
Screenshot_20250616-182405.png,Habibi,"2,372,695","3,531"
Screenshot_20250616-182413.png,Ptb BoySs,"2,356,350","2,395"
Screenshot_20250616-182422.png,VWKCoringa,"2,274,264","2,516"
Screenshot_20250616-182426.png,OLD Os,"2,286,337","1,091"
Screenshot_20250616-182434.png,DA KleinX,"2,107,251","2,038"
Screenshot_20250616-182443.png,Brancs,"2,122,300","2,052"
Screenshot_20250616-182450.png,Treasure A,"2,074,950","3,010"
Screenshot_20250616-182455.png,NeuyetAn!,"2,094,558","2,234"
Screenshot_20250616-182502.png,THOR Br,"1,874,430","1,226"
Screenshot_20250616-182505.png,shankis,"1,838,357","1,406"
